posX,posZ,amplL,amplR
-59.4,-571.58,60.71,33.34
-35.61,-558.18,8.82,5.49
-30.36,-558.18,0.5,2.25
-80.52,-558.18,3.11,0
-54.12,-558.18,5.62,2.79
47.17,-531.38,19.35,8.46
44.42,-531.38,1.2,0.99
-35.15,-531.38,0.95,0
-8.64,-531.38,1.07,0
-29.87,-531.38,0.83,0
-32.4,-531.38,4.7,0
-117.09,-517.98,1.57,0
-32.61,-517.98,12.02,4.75
-30.5,-477.78,7.1,2.27
-24.58,-383.98,3.25,1.67
-22.5,-370.58,5.78,1.52
-25.14,-370.58,6.71,1.16
-45.87,-705.58,1.85,2.05
-138.27,-705.58,2.14,1.2
-35.92,-665.38,2.18,0
-54.4,-665.38,3.85,0
-43.84,-665.38,1.79,0
-3.87,-638.58,0,1.08
-85.71,-638.58,0,1.15
-101.55,-638.58,0,1.86
-74.64,-625.18,0,3.81
-93.12,-625.18,0,0.81
-48.91,-611.78,0,1.59
-17.23,-611.78,0,0.68
-11.95,-611.78,0,1.01
-30.13,-504.58,1.68,5.72
-30,-491.18,3.74,1.13
-27.51,-464.38,3.05,2.66
-27.72,-450.98,16.27,9.26
-48.86,-437.58,1.98,0
-27.68,-437.58,10.07,4.4
-30.38,-437.58,11.56,6.64
-24.38,-397.38,10.32,1.15
-3.34,-397.38,0.91,0
-27.69,-718.98,1.31,0
-43.79,-651.98,0,0.33
-59.63,-651.98,0,0.79
6.96,-638.58,0,0.87
30.72,-638.58,0.91,2.96
-70.01,-598.38,0,0.94
-91.13,-598.38,0,3.36
-62.09,-598.38,0,0.29
-1.86,-584.98,0,1.02
-72.6,-571.58,0,1.55
-56.76,-571.58,0,2.91
-80.52,-571.58,0,2.14
27.9,-558.18,0.91,0.5
70.11,-558.18,1.91,0
-69.96,-558.18,0,0.67
-91.05,-558.18,0,0.8
-11.57,-517.98,0,0.85
-9.33,-477.78,0,1.22
-33.02,-437.58,0,0.95
-25.07,-410.78,1,6.96
-56.88,-692.18,1.09,0
-77.81,-678.78,3.19,0
-49.12,-665.38,0,0.61
-51.76,-665.38,0,1.86
-41.2,-665.38,0,0.55
62.73,-544.78,1.94,0
39.09,-544.78,4.21,3.16
70.82,-531.38,0,0.71
49.7,-531.38,0,1.64
-42.94,-397.38,0,0.35
15.44,174.99,10.14,1.46
15.28,188.39,2.66,1.22
14.6,201.79,6.28,5.56
17.43,215.19,4.7,3.62
17.25,228.59,10.01,4.7
20.41,255.39,8.49,1.23
41.46,255.39,0.32,0
22.54,308.99,1.98,3.18
28.09,362.59,3.39,4.58
25.5,362.59,8.51,10.47
46.57,362.59,0.96,0
57.09,496.59,1.83,0
35.98,496.59,10,12.52
9.45,-598.38,0,0.77
17.59,241.99,1.53,3.69
20.21,241.99,0.53,0
20.32,268.79,1.44,3.57
22.66,295.59,4.5,6.86
4.23,335.79,1.91,0
25.39,335.79,8.52,0
30.23,375.99,11.65,7.57
48.71,375.99,0,1.42
27.6,375.99,0,13.54
51.35,375.99,1.35,0
27.87,389.39,5.67,7.76
27.9,402.79,5.48,6.06
30.64,429.59,5.31,3.52
33.58,456.39,4.93,4.95
33.68,469.79,9.89,4.63
38.64,523.39,3.32,1.59
38.64,536.79,1.98,1.51
41.09,563.59,2.04,1.29
-80.64,-692.18,0,0.56
12.84,161.59,1.65,0.39
22.91,268.79,0,1.26
22.9,322.39,0,1.15
25.26,349.19,3.08,2.08
4.16,349.19,0.73,0
48.98,402.79,0,1.34
6.84,429.59,0,1.18
30.91,442.99,5.49,9.69
52.01,442.99,1.05,0
59.73,496.59,0,1.17
12.21,496.59,0,0.48
38.66,550.19,2.12,5.16
17.52,550.19,0,0.43
19.81,282.19,0,1.29
30.5,416.19,1.87,1.13
20,-611.78,1.28,0
-191.54,-638.58,0,2.28
