posX,posZ,amplL,amplR
-223.71,-665.38,0.35,0
-244.83,-665.38,21.29,2.99
-242.19,-665.38,1.35,0
-197.31,-665.38,2.05,0
-19.71,-638.58,7.35,4.96
-17.07,-638.58,10.28,0.43
-14.43,-638.58,1.59,0.81
-40.81,-638.58,100.91,85.09
-38.17,-638.58,106.2,79.7
-35.55,-638.58,96.04,76.54
-32.91,-638.58,18.99,11.25
-61.93,-638.58,4.71,7.58
-59.31,-638.58,9.69,5.05
-56.67,-638.58,6.9,1.41
-54.03,-638.58,0.95,0.91
-80.43,-638.58,1.04,0
-88.35,-638.58,4.92,1.32
-67.23,-638.58,3.55,2.16
-69.87,-638.58,3.75,0
-43.47,-638.58,96.87,72.87
-46.11,-638.58,93.67,62.44
-48.75,-638.58,74.73,16.89
-51.37,-638.58,4.56,0
-22.35,-638.58,5.39,1.12
-24.99,-638.58,12.22,2.41
-27.63,-638.58,21.87,7.67
-30.27,-638.58,65.52,18.01
-6.51,-638.58,0.65,0
-9.15,-638.58,0.67,0
-32.4,-625.18,5.65,2.32
-61.44,-625.18,25.63,2.01
-58.8,-625.18,5.54,1.66
-56.16,-625.18,6.64,3.46
-53.52,-625.18,13.25,9.46
-77.28,-625.18,2.06,1.38
-98.4,-625.18,1.67,0
-85.2,-625.18,0.77,0
-87.84,-625.18,0.56,1.16
-64.08,-625.18,19.62,18.59
-66.72,-625.18,0.86,0.67
-69.33,-625.18,3.17,1.33
-72,-625.18,3.24,0.59
-42.96,-625.18,20.38,11.18
-45.6,-625.18,35.56,26.42
-48.21,-625.18,55.59,46.05
-19.2,-625.18,0.39,2.74
-50.88,-625.18,73.59,81.84
-24.48,-625.18,2.46,3.13
-27.09,-625.18,1.33,5.53
-29.76,-625.18,30.96,18.45
-3.36,-625.18,0.72,1.01
-8.64,-625.18,1.24,2.51
-16.56,-625.18,4.91,1.16
-13.92,-625.18,1.22,3.7
-40.29,-625.18,85.61,52.43
-37.68,-625.18,87.71,68.42
-35.04,-625.18,19.06,19.85
-12.11,-651.98,2.2,0
-41.15,-651.98,3.04,1.19
-35.87,-651.98,1.92,3.56
-56.99,-651.98,2.65,1.48
-46.43,-651.98,3.19,0
-51.71,-651.98,3.42,0
-27.95,-651.98,21.67,10.27
-30.59,-651.98,9.86,0
-9.47,-651.98,3.87,0
-62.11,-611.78,2.29,0
-109.63,-611.78,2.47,0
-46.28,-611.78,1.41,0
-51.55,-611.78,4.81,6.4
-27.79,-611.78,1.32,2.77
-88.51,-611.78,38.88,19.79
-91.15,-611.78,1.12,0
-67.39,-611.78,1.3,0
-72.68,-611.78,0.51,1.11
-43.63,-611.78,0.79,0.77
-14.6,-611.78,4.22,1.71
-40.99,-611.78,16.45,9.67
-38.36,-611.78,23.67,5
-35.71,-611.78,11.14,11.43
-33.07,-611.78,11.42,8.34
-83.21,-598.38,0.73,1.57
-75.29,-598.38,13.68,9.15
-85.85,-598.38,1.5,1.73
-88.49,-598.38,0.55,0.77
-64.73,-598.38,1,1.21
-67.37,-598.38,24.24,7.89
-72.65,-598.38,10.16,12.76
-43.61,-598.38,75.82,44.49
-46.25,-598.38,16.59,9.57
-48.89,-598.38,1.61,3.54
-51.53,-598.38,1.76,1.13
-22.49,-598.38,0.64,0
-27.77,-598.38,0.47,0
-30.41,-598.38,20.33,5.33
-40.97,-598.38,11.13,9.82
-38.33,-598.38,6.44,7.91
-35.69,-598.38,0.44,0
-59.45,-598.38,4.21,0
-56.81,-598.38,0.3,0
-30.88,-584.98,2.88,0
-28.24,-584.98,19.74,4.5
-25.6,-584.98,0.83,0
-22.96,-584.98,1.31,0
-52,-584.98,5.1,0.7
-9.76,-584.98,0.36,0
-78.42,-584.98,0.83,0
-57.28,-584.98,1.36,0
-33.54,-584.98,21.25,22.07
-36.16,-584.98,3.96,0
-38.82,-584.98,1.73,1.5
-46.72,-584.98,4.92,2.38
-25.06,-571.58,11.27,14.34
-38.26,-571.58,5.12,5.19
-35.64,-571.58,0.93,2.72
-33,-571.58,1.29,0
-22.44,-571.58,0.94,2.77
-54.12,-571.58,3.6,0
-48.84,-571.58,0.97,0
-51.48,-571.58,6.5,2.99
