posY,posZ,amplL,amplR
-87.46,173.53,0.81,0.65
-108.62,173.53,9.7,8.21
-111.22,173.53,1.59,0
-150.82,173.53,0.22,0
-87.44,186.93,1.15,0
-108.56,186.93,1.75,1.84
-105.95,213.73,1.97,5.58
-106.09,227.13,3.31,4.19
-100.58,307.53,7.96,8.28
-97.94,307.53,0.52,1.79
-95.3,307.53,6.24,8.23
-137.54,307.53,0.45,0
-108.77,160.13,1.02,1.69
-106.68,200.33,0.82,1.57
-82.92,200.33,1.43,0
-105.86,240.53,0,1.01
-103.21,240.53,7.86,2.49
-84.73,240.53,2.92,0
-82.19,253.93,0,2.28
-103.31,253.93,1.33,6.84
-124.41,253.93,0,1.23
-100.65,267.33,0,3.64
-100.62,280.73,12.57,17.13
-103.27,280.73,0,0.72
-82.15,280.73,1.26,0
-100.51,294.13,11.6,2.13
-103.17,294.13,1.07,0
-103.22,307.53,0,1.7
-95.47,320.93,0,0.69
-98.12,320.93,2.1,1.74
-143.34,334.33,0.97,0
-98.45,334.33,2.44,1.41
-95.7,347.73,3.82,1.71
-103.55,361.13,1.34,2.86
-95.63,361.13,4.36,4.9
-85.07,361.13,0.9,0
-92.99,361.13,1.56,0
-87.71,361.13,3.47,0
-119.57,374.53,0,0.33
-95.81,374.53,23.56,28.73
-93.17,374.53,2.8,1.79
-74.69,374.53,0,1.97
-116.93,374.53,0.32,0
-95.3,387.93,5.57,3.07
-92.69,401.33,8.08,4.29
-92.88,414.73,5.12,3.32
-92.76,428.13,15.85,12.47
-92.72,441.53,6.3,8.28
-90.18,454.93,4.39,5.14
-100.59,468.33,0,1.05
-97.95,468.33,0,0.55
-84.75,468.33,0,0.5
-103.23,468.33,0,11.12
-126.99,468.33,0,1.6
-105.87,468.33,0,2.1
-90.03,468.33,14.91,0
-95.31,468.33,0.56,0
-87.39,468.33,2.16,0
-47.79,468.33,1.99,0
-90.29,481.73,3.87,4.17
-87.58,495.13,1.51,3.1
-90.22,495.13,13.56,13.41
-111.34,495.13,1.11,0
-88.04,521.93,4.84,2.64
-87.8,535.33,9.68,3.79
-108.93,535.33,1.16,0
-87.26,548.73,3.41,11.3
-84.73,562.13,7.8,0
-219.67,-613.24,0,1.32
-79.97,334.33,0,1.46
-87.83,508.53,0,0.96
-158.77,-666.84,1.97,0
