"Latest: Time (s)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Latest: Position (m)"
3.861,-0.196193308081,1.48510657395,1.769436
3.894,0.0435632575758,-3.61856698296,1.768011
3.927,-0.195932449495,-16.1954926953,1.801593
3.96,-0.685590530303,-35.2121262658,1.739684
3.993,-1.45316780303,-66.0794852088,1.755393
4.026,-4.55156527778,-99.8957435944,1.803704
4.059,-12.5718623737,-57.9974215641,1.770054
4.092,-12.5847275253,53.0184640438,0.499542
4.125,-4.85941666667,93.9358098185,0.480571
4.158,-1.95130681818,60.7502641153,0.48088
4.191,-0.96579280303,26.1400741793,0.484211
4.224,-1.01719419192,-0.490090567927,0.474494
4.257,-2.65876818182,0.135063737119,0.484743
4.29,-2.30896767677,27.0751046609,0.171798
4.323,0.886214267677,28.81555157,0.171489
4.356,0.0333220959596,25.977071823,0.484348
4.389,-0.238858838384,68.514923541,0.171643
4.422,4.56566199495,102.664075557,0.17166
4.455,8.22355441919,103.398193089,0.509174
4.488,15.2961401515,37.5485900833,0.495679
4.521,14.7321964646,-100.083214069,1.967371
4.554,4.82605214646,-173.260211936,1.967645
4.587,-0.437151767677,-172.584375064,1.967542
4.62,-6.01023257576,-165.536462287,1.970032
4.653,-16.7705132576,-65.3154799255,1.967319
4.686,-15.642642298,113.050545225,0.175197
4.719,-2.49896199495,176.158113729,0.171832
4.752,8.37558611111,37.5232727938,0.175025
4.785,-0.676677525253,-95.9511047556,1.965156
4.818,-10.7415054293,-25.9716113211,0.175266
4.851,-3.61767285354,65.5773775849,0.172055
4.884,-0.586406204906,69.6084274573,0.175352
4.917,2.35433707071,57.3414416013,0.175283
4.95,3.67805212121,27.3549647394,0.496074
4.983,2.4843969697,-3.05094298596,0.502907
