posY,posZ,amplL,amplR
113.62,-613.24,0.42,0
87.22,-613.24,0.96,0
66.1,-613.24,4.75,3
42.34,-613.24,3.1,0
44.98,-613.24,108.74,97.67
21.22,-613.24,4.46,0
31.78,-613.24,2.46,0
26.5,-613.24,0.84,0.35
2.74,-613.24,1.14,0
5.38,-613.24,1.6,0
15.94,-613.24,0.44,0
34.42,-613.24,1.45,1.23
23.86,-613.24,4.09,1.52
60.61,-599.84,18.42,11.96
68.53,-599.84,0.48,1.01
55.33,-599.84,21.81,18.34
52.69,-599.84,8.15,2.68
81.73,-599.84,2.35,0
79.09,-599.84,3.35,0
76.45,-599.84,5.76,4.22
73.81,-599.84,2.23,0
97.57,-599.84,1.41,0
118.69,-599.84,1.49,0
116.05,-599.84,0.28,0
42.16,-599.84,37.57,17.44
44.8,-599.84,7.06,8.9
47.44,-599.84,10.13,2.89
50.08,-599.84,8.4,5.07
21.01,-599.84,5.23,0.48
23.65,-599.84,41.65,23.37
26.29,-599.84,32.3,17.43
28.93,-599.84,58.2,24.69
5.17,-599.84,4.74,5.32
7.81,-599.84,11.09,3.44
-15.95,-599.84,0.98,0.78
-13.31,-599.84,0.26,0
-26.51,-599.84,1.96,0
-31.79,-599.84,1.51,0
-2.75,-599.84,1.29,0
-5.39,-599.84,3.28,1.91
-8.03,-599.84,7.32,1.82
-10.67,-599.84,3.05,0
18.37,-599.84,6.72,1.1
15.73,-599.84,17.09,9.3
13.09,-599.84,36.95,14.2
10.45,-599.84,12.48,5.25
39.49,-599.84,55.05,21.78
36.85,-599.84,78.02,100.43
34.21,-599.84,79.44,94.14
31.57,-599.84,82.37,93.32
63.25,-599.84,0.74,0.53
65.89,-599.84,0.52,0
57.97,-599.84,10.05,6.64
105.75,-586.44,0.64,1.82
118.95,-586.44,0.26,0
113.67,-586.44,1.14,0
84.63,-586.44,2.71,0
87.27,-586.44,88.44,59.36
89.91,-586.44,2.09,0
68.79,-586.44,1.79,0.58
71.43,-586.44,3.05,2.55
42.39,-586.44,30.46,25.25
45.05,-586.44,20.19,18.3
47.69,-586.44,43.03,21.37
50.33,-586.44,5.02,2.35
21.27,-586.44,17.15,5.85
23.91,-586.44,16.39,11.67
26.55,-586.44,49.13,29.83
29.19,-586.44,66.36,49.53
0.15,-586.44,24.38,8.16
2.79,-586.44,1.11,1.04
5.43,-586.44,1.03,0.75
8.07,-586.44,4.3,1.67
-15.69,-586.44,3.3,0
-13.05,-586.44,0.8,1.38
-31.53,-586.44,1.08,0
-5.13,-586.44,2.8,0
-7.77,-586.44,2.54,0
18.63,-586.44,9.13,4.29
15.99,-586.44,15.92,15.45
13.35,-586.44,20.9,8.69
10.71,-586.44,7.7,4.04
39.77,-586.44,89.61,81.53
37.11,-586.44,89.26,101.49
34.47,-586.44,82.75,89.15
31.83,-586.44,87.76,55.41
60.87,-586.44,3.19,3.7
58.23,-586.44,2.35,1.86
55.59,-586.44,2.18,0.62
52.95,-586.44,3.37,4.81
79.35,-586.44,1.87,0
108.39,-586.44,2.49,1.54
63.35,-573.04,0.31,0
73.91,-573.04,6.11,0.3
42.23,-573.04,13.59,5.93
44.88,-573.04,55.47,26.25
47.52,-573.04,25.42,4.73
50.16,-573.04,10.02,3.44
21.11,-573.04,2.65,0
26.39,-573.04,24.61,9.63
29.03,-573.04,3.28,0
7.91,-573.04,2.71,0
-2.65,-573.04,0.58,0
-5.29,-573.04,0.94,0
18.47,-573.04,31.48,25.09
15.83,-573.04,48.16,29.32
13.19,-573.04,1.67,0
39.59,-573.04,28.18,1.2
36.96,-573.04,81.97,46.42
34.31,-573.04,54.5,18.75
31.67,-573.04,16.57,5.41
60.71,-573.04,2.3,4.94
58.07,-573.04,44.39,19.35
55.43,-573.04,1.59,0
52.79,-573.04,12.01,11.84
68.63,-573.04,2.3,0
105.54,-559.64,0.52,1.2
87.06,-559.64,2.23,0
63.3,-559.64,0.28,0
65.94,-559.64,3.04,2.4
42.18,-559.64,19.92,10.98
44.75,-559.64,2.98,1.79
47.39,-559.64,15.59,5.06
50.03,-559.64,2.52,1.91
21.06,-559.64,88.64,56.16
23.7,-559.64,23.2,12.22
26.34,-559.64,14.34,13.3
28.98,-559.64,99.69,57.51
-0.06,-559.64,3.8,0.59
-18.54,-559.64,1.28,0
-26.46,-559.64,1.98,0
18.42,-559.64,0.67,1.39
10.5,-559.64,1.01,0
39.54,-559.64,20.47,16.08
36.83,-559.64,21.47,23.71
34.26,-559.64,47.95,25.41
