posY,posZ,amplL,amplR
31.62,-559.64,13.49,13.62
58.02,-559.64,1.08,9.32
76.5,-559.64,0.79,0
58.32,-546.24,27.57,11.01
53.04,-546.24,4.34,4.8
74.16,-546.24,0.3,0
66.24,-546.24,0.72,0
42.48,-546.24,16.55,8.64
45.16,-546.24,15.35,2.99
47.8,-546.24,12.42,2.52
50.44,-546.24,3.35,2.62
24,-546.24,5.45,8.49
26.64,-546.24,63.31,46.97
29.28,-546.24,6.32,1.18
8.16,-546.24,1.48,0
-26.16,-546.24,9.68,5.68
-28.8,-546.24,1.42,0
-5.04,-546.24,1.25,0
18.72,-546.24,20.65,19.95
16.08,-546.24,8.91,2.95
13.44,-546.24,1.49,0
10.8,-546.24,5.98,0
39.88,-546.24,38.7,29.42
37.2,-546.24,76.56,24.54
34.56,-546.24,39.71,31.7
31.92,-546.24,26.14,19.83
60.96,-546.24,2.23,2.1
34.63,-532.84,4.07,3.71
31.99,-532.84,6.12,8.95
58.39,-532.84,3.86,0.81
55.75,-532.84,1.86,2.01
53.11,-532.84,4.11,0
79.51,-532.84,0.75,0
76.87,-532.84,1.49,2.05
74.23,-532.84,1.41,4.58
95.35,-532.84,0.98,0.81
84.79,-532.84,1.21,0
90.07,-532.84,0.3,0
92.71,-532.84,1.13,0
63.67,-532.84,0.92,1.19
71.59,-532.84,7.94,2.71
42.55,-532.84,5.14,2.87
45.19,-532.84,28.35,6.53
47.83,-532.84,3.45,2.96
50.47,-532.84,128.93,37.4
21.43,-532.84,0.95,0
24.07,-532.84,7.39,5.36
26.71,-532.84,9.8,3.65
29.35,-532.84,54.49,31.91
8.23,-532.84,0.56,0
-2.33,-532.84,1.18,0
18.79,-532.84,18.76,4.33
16.15,-532.84,2.06,0
10.87,-532.84,9.56,10.53
39.91,-532.84,17.78,14.46
37.27,-532.84,42.95,18.52
113.43,-519.44,0.65,0
76.47,-519.44,5.4,5.25
89.67,-519.44,1.81,0.66
68.55,-519.44,2.09,0
71.19,-519.44,2.31,2.36
42.15,-519.44,12.17,12.2
44.76,-519.44,5.64,5.87
47.43,-519.44,85.73,31.29
50.04,-519.44,12.58,14
26.31,-519.44,2.48,1.12
28.95,-519.44,107.29,57.99
-0.09,-519.44,0.93,0
5.19,-519.44,8.23,3.57
7.83,-519.44,3.2,0.85
13.11,-519.44,4.01,0
10.47,-519.44,0.85,1.51
39.48,-519.44,10.86,4.3
36.87,-519.44,39.99,13.53
34.23,-519.44,5.21,0
31.59,-519.44,65.55,15.97
60.63,-519.44,0.36,0
55.35,-519.44,0.99,0
52.68,-519.44,25.99,11.94
73.83,-519.44,24.04,19.88
123.99,-519.44,3.66,3.28
121.35,-519.44,9.88,3.11
118.71,-519.44,11.4,4.71
87.03,-519.44,1.63,0
55.3,-506.04,4.75,3.59
57.95,-506.04,15.35,5.31
73.79,-506.04,1.42,0
123.95,-506.04,0.98,0
105.47,-506.04,2.03,0
84.35,-506.04,31.87,20.55
86.99,-506.04,0.41,0
63.23,-506.04,0.97,2.59
68.51,-506.04,0.53,1.31
71.15,-506.04,7.6,2.15
42.11,-506.04,1.42,0
44.74,-506.04,20.01,8.67
50.02,-506.04,1.88,1.49
23.63,-506.04,4.7,1.86
26.27,-506.04,1.17,0
-0.13,-506.04,6.07,3.22
-29.17,-506.04,0.47,0
-2.77,-506.04,4.34,2.27
39.46,-506.04,6.18,1.56
36.83,-506.04,2.04,0
34.19,-506.04,1.85,0
60.59,-506.04,2.39,0.95
79.07,-506.04,1.5,0
-2.06,-492.64,0.35,0.28
63.94,-492.64,4.97,1.5
37.54,-492.64,1.37,0
61.3,-492.64,11.44,4.04
58.62,-492.64,14.31,6.47
56.02,-492.64,1,1.24
82.42,-492.64,10.73,6.84
79.78,-492.64,0.29,0
77.14,-492.64,2.01,0
45.42,-492.64,5.82,1.32
48.1,-492.64,0.99,0
21.7,-492.64,1.14,0
0.58,-492.64,1.3,0.53
5.86,-492.64,4.21,2.74
40.14,-492.64,5.89,0
63.44,-479.24,13.44,6.78
97.76,-479.24,6.74,2.42
68.72,-479.24,0.36,0
71.36,-479.24,29.39,11.07
42.32,-479.24,45.85,37.32
45,-479.24,28.32,15.28
47.6,-479.24,57.83,32.46
50.28,-479.24,13.27,18.38
21.2,-479.24,10.76,6.55
23.84,-479.24,7.03,6.75
26.48,-479.24,1.45,0.32
29.12,-479.24,2.48,0.9
0.08,-479.24,1.57,0
8,-479.24,3.78,0
-7.84,-479.24,1.11,0
18.56,-479.24,0.87,1.45
13.28,-479.24,4.03,4.53
39.72,-479.24,56.87,29.13
37.04,-479.24,19.41,9.42
34.4,-479.24,70.85,30.24
31.76,-479.24,5.65,0.24
55.56,-479.24,4.06,0.41
52.88,-479.24,1.68,0
76.64,-479.24,0.46,0.22
74,-479.24,8.53,6.45
66.08,-479.24,12.65,6.12
34.55,-465.84,8.58,11.17
37.19,-465.84,59.1,40.35
60.95,-465.84,2.24,0
58.31,-465.84,9.18,3.49
52.9,-465.84,10.24,9.2
79.43,-465.84,2.39,0.57
97.91,-465.84,9.73,6.28
95.27,-465.84,6.08,3.79
105.83,-465.84,1.13,0
108.47,-465.84,1.14,0.39
89.99,-465.84,1.5,0
92.63,-465.84,1.96,1.43
71.51,-465.84,6.55,1.58
42.47,-465.84,14.09,7.25
44.98,-465.84,1.71,0.3
47.75,-465.84,17.94,7.21
50.26,-465.84,8.69,13.84
26.63,-465.84,10.59,1.41
29.27,-465.84,2.09,5.3
0.23,-465.84,1.4,0.34
-23.53,-465.84,12.43,11.71
-7.69,-465.84,2.26,0
18.71,-465.84,0.72,0
16.07,-465.84,5.69,4.28
13.43,-465.84,6.66,1.05
10.79,-465.84,0.82,0
39.7,-465.84,80.95,61.54
31.91,-465.84,51.02,24.5
92.91,-385.44,1.37,1.15
45.39,-385.44,0.2,0.83
47.98,-385.44,16.51,9.85
50.67,-385.44,1.45,0
21.63,-385.44,0.46,0
74.38,-385.44,2.8,0
26.91,-385.44,2.16,0
29.5,-385.44,18.91,9.77
3.15,-385.44,1.36,0.37
40.11,-385.44,2.22,0
37.43,-385.44,3.72,6.73
24.27,-385.44,88.26,56.09
20.34,-372.04,15.46,4.9
-0.78,-372.04,40.44,56.68
-40.38,-372.04,0.42,0.98
15.06,-372.04,2.24,0
78.42,-372.04,1.17,0
38.82,-372.04,10.56,3.36
36.18,-372.04,33.77,15.36
33.54,-372.04,0.39,1.36
12.42,-372.04,0.23,0
68.7,-439.04,0.72,0.27
92.46,-439.04,1.34,0
42.3,-439.04,2.42,4.76
44.94,-439.04,15.34,14.01
47.58,-439.04,23.77,5.11
50.22,-439.04,21.59,18.67
23.82,-439.04,2.44,0
29.1,-439.04,0.81,0
2.7,-439.04,32.94,12.22
5.34,-439.04,0.31,0
39.66,-439.04,21.2,3.95
37.02,-439.04,12.3,3.5
58.14,-439.04,6.49,2.08
55.5,-439.04,16.03,3.93
52.86,-439.04,28.66,17.6
81.9,-439.04,20.93,11.26
73.98,-439.04,1.43,1.75
84.54,-439.04,0.63,0
71.34,-439.04,8.76,8.57
86.92,-425.64,19.49,9.37
118.6,-425.64,0.43,0
68.44,-425.64,1.03,0
71.08,-425.64,0.89,0
41.97,-425.64,8.22,1.23
44.68,-425.64,3.34,1.3
47.32,-425.64,15.46,13.64
49.96,-425.64,1.16,1
20.92,-425.64,2.29,0.38
23.56,-425.64,2.51,0.63
28.84,-425.64,1.14,2.09
2.44,-425.64,0.37,0
39.33,-425.64,2.34,2.84
36.76,-425.64,5.22,6.64
34.12,-425.64,0.71,0
60.45,-425.64,16.08,9.95
55.24,-425.64,24.6,9.97
52.53,-425.64,1.91,2.16
65.8,-425.64,2.02,0
86.93,-412.24,48.3,34.07
89.57,-412.24,0.6,1.38
65.81,-412.24,0.93,0.7
41.96,-412.24,20.06,12.44
44.69,-412.24,4.24,1.8
49.97,-412.24,0.86,0
20.93,-412.24,5.78,2.5
-0.19,-412.24,1.31,0
39.32,-412.24,43.58,21.16
36.77,-412.24,5.27,2.75
60.44,-412.24,3.22,0.88
55.16,-412.24,8.56,8.77
52.61,-412.24,3.47,0
81.65,-412.24,1.6,0
37.09,-398.84,4.39,2.9
60.85,-398.84,0.43,2.5
55.57,-398.84,4.01,0
39.73,-398.84,2.85,3.32
47.73,-398.84,4.55,0
23.97,-398.84,1.78,0
53.01,-398.84,0.22,0
47.62,-613.24,0,1.48
63.46,-613.24,0,0.5
68.74,-613.24,0,0.22
29.14,-613.24,0,3.15
-34.22,-613.24,0,0.47
-36.86,-613.24,0,0.38
-7.82,-613.24,0,1.21
60.82,-613.24,0,0.95
102.85,-599.84,0,0.95
71.17,-599.84,0,0.5
-23.87,-599.84,0,0.28
-29.15,-599.84,0,0.61
65.99,-573.04,0,0.64
97.67,-573.04,0,2.88
10.55,-573.04,0,1.44
23.75,-573.04,0,3.37
134.95,-519.44,2.68,2.64
145.51,-519.44,8.49,7
148.15,-519.44,21.86,12.56
132.31,-519.44,8.24,3.17
127.03,-519.44,4.92,2.86
129.67,-519.44,2.74,0
150.79,-519.44,11.48,15.15
-26.25,-586.44,0,0.35
66.15,-586.44,0,1.58
95.19,-586.44,0,1.22
-84.77,-573.04,3.46,4.26
79.14,-559.64,0,1.02
55.38,-559.64,0,0.96
13.14,-559.64,0,1.75
63.6,-546.24,0,0.5
71.52,-546.24,0,0.76
13.51,-532.84,0,0.93
0.31,-532.84,0,0.39
5.59,-532.84,0,0.46
111.19,-532.84,0,0.42
137.59,-519.44,0,0.19
23.67,-519.44,0,2.93
92.31,-519.44,0,0.65
116.07,-519.44,0,1.65
79.11,-519.44,0,1.38
57.99,-519.44,0,2.01
-37.05,-519.44,0,0.22
-23.89,-506.04,0,0.79
47.39,-506.04,0,1
98.26,-492.64,0,1.54
108.82,-492.64,0,1.02
8.5,-492.64,0,0.27
24.34,-492.64,0,0.74
58.16,-479.24,0,0.86
-5.2,-479.24,0,1.02
113.75,-465.84,0,0.78
68.87,-465.84,0,0.32
126.67,-452.44,1.01,0
55.2,-452.44,0,1.95
52.55,-452.44,0,12.69
39.35,-452.44,0,18.72
36.72,-452.44,0,1.02
-10.8,-452.44,0,0.44
26.16,-452.44,0,1.87
42,-452.44,0,2.6
44.63,-452.44,0,1.72
68.4,-452.44,0,0.43
71.04,-452.44,0,0.82
113.28,-452.44,0,0.75
78.96,-452.44,0,2.08
76.32,-452.44,0,2.85
34.38,-439.04,0,0.8
18.54,-439.04,0,1.03
13.26,-439.04,0,0.44
-15.78,-439.04,0,2.1
26.46,-439.04,0,0.92
79.26,-439.04,0,0.53
76.62,-439.04,0,2.43
26.2,-425.64,0,0.62
15.65,-412.24,0,1.29
13.01,-412.24,0,1.82
57.89,-412.24,0,1.74
98.19,-385.44,0,0.22
32.19,-385.44,0,1.18
-28.53,-385.44,0,0.16
-41.73,-385.44,0,0.46
42.75,-385.44,0,0.25
57.3,-372.04,0,0.34
-21.9,-372.04,0,0.5
135.53,-492.64,1.38,2.56
134.78,-425.64,2.48,1.04
-196.26,-372.04,2.75,0
-185.7,-372.04,5.95,2.99
15.91,-626.64,4.94,1.05
132.38,-506.04,2.94,0
87.04,-640.04,0,0.18
2.56,-640.04,0,1.19
153.42,-666.84,2.12,0
-357.42,-372.04,1.59,2.6
127.42,-532.84,0,0.91
-272.94,-372.04,0,0.21
151.03,-465.84,0,0.9
