posX,posZ,amplL,amplR
-193.76,-531.38,0,0.51
-172.64,-531.38,13.48,17.65
-130.37,-517.98,1.58,0
-106.61,-517.98,1.26,0
-93.41,-517.98,0.89,0
-80.21,-517.98,0.41,0
-170.21,-517.98,0,1.47
-172.85,-517.98,20.51,27.86
-175.49,-517.98,12.55,6.93
-312.77,-517.98,0,0.22
-265.25,-517.98,0,0.22
-207.17,-517.98,0,1.14
-204.53,-517.98,0,0.22
-135.77,-504.58,3.93,0.79
-148.97,-504.58,3.23,1.28
-151.61,-504.58,9.64,10.58
-156.87,-504.58,5.18,2.49
-119.91,-504.58,0,0.88
-162.15,-504.58,0,1.39
-159.51,-504.58,5.65,1.5
-141.03,-504.58,2.94,2.16
-138.39,-504.58,26.94,11.76
-167.45,-504.58,2.49,5.12
-143.67,-504.58,2.3,0
-106.71,-504.58,2.06,0
-127.83,-504.58,1.88,0
-88.15,-491.18,0,0.95
-96.07,-491.18,1.03,3.35
-133.09,-491.18,36.87,37.19
-135.67,-491.18,0,0.46
-148.93,-491.18,1.75,5.01
-151.57,-491.18,2.43,3.55
-154.15,-491.18,0,1.73
-156.79,-491.18,3.25,5.63
-167.41,-491.18,0,0.76
-164.71,-491.18,1.2,2.02
-146.23,-491.18,1.46,2.56
-143.59,-491.18,9.93,4.81
-103.99,-491.18,0,0.4
-98.71,-491.18,1.61,0.98
-127.75,-491.18,1.43,5.61
-117.19,-491.18,1.71,0
-138.31,-491.18,0.38,0
-159.43,-491.18,4.28,0
-170.15,-491.18,2.91,10.05
-109.65,-477.78,0,1.47
-117.57,-477.78,0,0.84
-133.36,-477.78,5.21,1.33
-136.05,-477.78,1.48,1.18
-149.2,-477.78,31.2,41.59
-151.89,-477.78,28.36,25.95
-154.48,-477.78,21.23,25.27
-157.17,-477.78,17.13,20.02
-167.73,-477.78,0,1.55
-165.09,-477.78,0.21,1.51
-162.45,-477.78,11.26,16.18
-159.81,-477.78,1.62,2.11
-146.61,-477.78,62.46,58.25
-143.97,-477.78,10.77,13.62
-141.33,-477.78,2.16,3.42
-125.49,-477.78,2.12,1.59
-122.85,-477.78,1.16,2.67
-112.29,-477.78,0,0.79
-130.77,-477.78,6.2,0
-270.94,-477.78,0.49,2.27
-252.46,-477.78,5.18,1.36
-249.82,-477.78,61.82,60.86
